ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-01,1440081.931705344,368860.6159389048,1026843.0069158699,1440081.931705344,1440081.931705344,-742687.4297002554,-742687.4297002554,-742687.4297002554,-742687.4297002554,-742687.4297002554,-742687.4297002554,0.0,0.0,0.0,697394.5020050886
2024-07-01,1415222.0437005928,519042.65736048453,1150039.6753978054,1415222.0437005928,1415222.0437005928,-559042.8504123975,-559042.8504123975,-559042.8504123975,-559042.8504123975,-559042.8504123975,-559042.8504123975,0.0,0.0,0.0,856179.1932881953
2024-07-31,1390362.1556958414,-281790.8050945355,346898.28187952144,1390360.3691022682,1390363.9604665763,-1372371.6519960153,-1372371.6519960153,-1372371.6519960153,-1372371.6519960153,-1372371.6519960153,-1372371.6519960153,0.0,0.0,0.0,17990.503699826077
2024-08-31,1364673.6047575984,601442.9864781917,1247516.9975558359,1364667.3265339844,1364679.640372514,-433011.39629634336,-433011.39629634336,-433011.39629634336,-433011.39629634336,-433011.39629634336,-433011.39629634336,0.0,0.0,0.0,931662.2084612551
2024-09-30,1339813.7167528472,1617168.570676183,2259495.0092191817,1339801.947044292,1339825.2084525034,599571.6914287026,599571.6914287026,599571.6914287026,599571.6914287026,599571.6914287026,599571.6914287026,0.0,0.0,0.0,1939385.4081815497
2024-10-31,1314125.1658146041,1256701.5965595706,1906727.6163699243,1314106.7146106365,1314142.434240946,260887.38473055567,260887.38473055567,260887.38473055567,260887.38473055567,260887.38473055567,260887.38473055567,0.0,0.0,0.0,1575012.5505451597
2024-11-30,1289265.277809853,-595756.4824836311,52891.62824013158,1289240.1709624454,1289290.1497425165,-1573746.391253306,-1573746.391253306,-1573746.391253306,-1573746.391253306,-1573746.391253306,-1573746.391253306,0.0,0.0,0.0,-284481.1134434531
2024-12-31,1263576.7268716097,847879.2204294004,1518787.81680244,1263543.0677830349,1263609.4720158393,-68179.05258439314,-68179.05258439314,-68179.05258439314,-68179.05258439314,-68179.05258439314,-68179.05258439314,0.0,0.0,0.0,1195397.6742872165
2025-01-31,1237888.1759333666,1335928.2934877595,1987111.8852056847,1237845.4649589711,1237930.6936216233,402536.3881734291,402536.3881734291,402536.3881734291,402536.3881734291,402536.3881734291,402536.3881734291,0.0,0.0,0.0,1640424.5641067957
2025-02-28,1214685.613795599,-11308.893125481845,623705.5399478982,1214633.0414202288,1214738.6584530002,-880770.4661217077,-880770.4661217077,-880770.4661217077,-880770.4661217077,-880770.4661217077,-880770.4661217077,0.0,0.0,0.0,333915.1476738913
2025-03-31,1188997.0628573557,908482.6486153065,1512736.2315961528,1188933.8705897895,1189061.9984052086,39220.93864866355,39220.93864866355,39220.93864866355,39220.93864866355,39220.93864866355,39220.93864866355,0.0,0.0,0.0,1228218.0015060192
2025-04-30,1164137.1748526045,1755312.5639171007,2396281.6006246097,1164062.0980153333,1164214.282786194,895886.7656201068,895886.7656201068,895886.7656201068,895886.7656201068,895886.7656201068,895886.7656201068,0.0,0.0,0.0,2060023.9404727113
2025-05-31,1138448.6239143615,292883.69101789297,929651.4523577541,1138362.9285550555,1138537.984201175,-522831.1374850911,-522831.1374850911,-522831.1374850911,-522831.1374850911,-522831.1374850911,-522831.1374850911,0.0,0.0,0.0,615617.4864292704
2025-06-30,1113588.73590961,529847.0659122096,1152526.3712103148,1113491.4361874203,1113696.0764945,-283950.52604652895,-283950.52604652895,-283950.52604652895,-283950.52604652895,-283950.52604652895,-283950.52604652895,0.0,0.0,0.0,829638.2098630811
